Control ID,Control Domain,Control Title,SOC2 CC,ISO 27001 Annex A,Implementation,Evidence Location,Status,Last Reviewed,Owner
A.9.1.1,Access Control,Access control policy,CC6.1,A.9.1.1,Access control policy,docs/security/access_policy.md,Implemented,2025-11-01,Security
A.9.2.1,Access Control,User registration,CC6.1,A.9.2.1,User provisioning process,docs/security/provisioning.md,Implemented,2025-11-01,IT
A.9.2.2,Access Control,User access provisioning,CC6.1,A.9.2.2,Role-based access control,docs/security/rbac.md,Implemented,2025-11-01,Security
A.9.2.3,Access Control,Management of privileged access,CC6.1,A.9.2.3,Admin access controls,docs/security/privileged_access.md,Implemented,2025-11-01,Security
A.9.2.6,Access Control,Access rights removal,CC6.3,A.9.2.6,Offboarding checklist,docs/security/offboarding.md,Implemented,2025-11-01,HR
A.9.4.1,Access Control,Information access restriction,CC6.1,A.9.4.1,Need-to-know basis,docs/security/access_policy.md,Implemented,2025-11-01,Security
A.9.4.2,Access Control,Secure log-on procedures,CC6.2,A.9.4.2,MFA enforcement,docs/security/auth_policy.md,Implemented,2025-11-01,Security
A.10.1.1,Cryptography,Policy on use of cryptographic controls,CC6.6,A.10.1.1,Encryption policy,docs/security/encryption_policy.md,Implemented,2025-11-01,Security
A.10.1.2,Cryptography,Key management,CC6.7,A.10.1.2,Key management procedure,crypto/kms_stub.py,Implemented,2025-11-01,Security
A.12.1.1,Operations Security,Documented operating procedures,CC7.2,A.12.1.1,Operational runbooks,docs/,Implemented,2025-11-01,SRE
A.12.1.2,Operations Security,Change management,CC8.1,A.12.1.2,Change management process,docs/policies/change_management.md,Implemented,2025-11-01,Engineering
A.12.1.3,Operations Security,Capacity management,CC7.1,A.12.1.3,Capacity planning,docs/perf/budgets.md,Implemented,2025-11-01,SRE
A.12.3.1,Operations Security,Information backup,CC7.3,A.12.3.1,Backup procedures,scripts/dr/backup_snapshot.py,Implemented,2025-11-01,SRE
A.12.4.1,Operations Security,Event logging,CC4.1,A.12.4.1,Structured logging,observability/logger.py,Implemented,2025-11-01,SRE
A.12.4.3,Operations Security,Administrator logs,CC4.1,A.12.4.3,Admin action logging,observability/logger.py,Implemented,2025-11-01,Security
A.12.6.1,Operations Security,Management of vulnerabilities,CC9.1,A.12.6.1,Vulnerability scanning,supply-chain/sbom.py,Implemented,2025-11-01,Security
A.14.2.1,System Development,Secure development policy,CC5.1,A.14.2.1,Secure coding standards,docs/security/secure_coding.md,Implemented,2025-11-01,Engineering
A.14.2.5,System Development,Secure system principles,CC5.1,A.14.2.5,Security by design,docs/security/security_by_design.md,Implemented,2025-11-01,Security
A.16.1.1,Incident Management,Responsibilities and procedures,CC9.2,A.16.1.1,Incident response plan,docs/security/incident_response.md,Implemented,2025-11-01,Security
A.16.1.4,Incident Management,Assessment and decision,CC9.2,A.16.1.4,Incident severity matrix,docs/security/incident_severity.md,Implemented,2025-11-01,Security
A.17.1.1,Business Continuity,Planning continuity,CC7.4,A.17.1.1,Business continuity plan,docs/dr/runbook.md,Implemented,2025-11-01,SRE
A.17.2.1,Business Continuity,Availability of facilities,CC7.5,A.17.2.1,High availability architecture,docs/reliability/slos.md,Implemented,2025-11-01,SRE
A.18.1.1,Compliance,Identification of applicable legislation,CC5.1,A.18.1.1,Legal compliance register,docs/compliance/legal_register.md,Implemented,2025-11-01,Legal
A.18.1.4,Compliance,Privacy and protection of PII,CC6.6,A.18.1.4,Data protection procedures,docs/data/,Implemented,2025-11-01,Privacy
A.18.2.1,Compliance,Independent review,CC4.1,A.18.2.1,Internal audit program,docs/compliance/audit_program.md,Implemented,2025-11-01,Compliance
GDPR.Art5,Data Protection,Principles of data processing,CC6.6,A.18.1.4,Data minimization; Purpose limitation,docs/data/classification.md,Implemented,2025-11-01,Privacy
GDPR.Art6,Data Protection,Lawfulness of processing,CC6.6,A.18.1.4,Legal basis documentation,consent/models.py,Implemented,2025-11-01,Privacy
GDPR.Art15,Data Protection,Right of access,CC6.6,A.18.1.4,Data subject access workflow,scripts/data/dsr.py,Implemented,2025-11-01,Privacy
GDPR.Art17,Data Protection,Right to erasure,CC6.6,A.18.1.4,Data deletion workflow,scripts/data/dsr.py,Implemented,2025-11-01,Privacy
GDPR.Art25,Data Protection,Privacy by design,CC6.6,A.18.1.4,Privacy impact assessments,docs/data/classification.md,Implemented,2025-11-01,Privacy
GDPR.Art32,Data Protection,Security of processing,CC6.6,A.10.1.1,Encryption; Access controls,crypto/,Implemented,2025-11-01,Security
GDPR.Art33,Data Protection,Breach notification,CC9.2,A.16.1.1,72-hour breach notification,docs/security/incident_response.md,Implemented,2025-11-01,Security
